pos,cog_axis,cog_value,unity_time,unity_state,unity_av,unity_mav,unity_lv,unity_mlv
7/5/6/3/5/7/7/7/3 3 3,X,0.5666666666666666666666666666,7.75,SLEEP,0,7,0,1E+16
7/5/6/3/3/6/7/7/7 3 3,Z,-0.5769230769230769230769230769,5.25,SLEEP,0,7,0,1E+16
7/5/6/3/3/5/7/7/7 3 3,X,0.5666666666666666666666666666,8.375,SLEEP,0,7,0,1E+16
7/5/6/3/3/3/7/7/7 3 3,X,0.5666666666666666666666666666,5.5,SLEEP,0,7,0,1E+16
7/5/6/3/3/7/6/7/7 3 3,X,-0.5909090909090909090909090909,3.875,SLEEP,0,7,0,1E+16
7/5/6/3/3/7/5/7/7 3 3,X,0.5666666666666666666666666666,5.125,SLEEP,0,7,0,1E+16
7/5/6/3/3/7/3/7/7 3 3,X,0.6333333333333333333333333333,3.875,SLEEP,0,7,0,1E+16
7/5/6/3/3/7/7/6/7 3 3,Z,-0.5769230769230769230769230769,4.625,SLEEP,0,7,0,1E+16
7/5/6/3/3/7/7/5/7 3 3,X,0.5666666666666666666666666666,5.75,SLEEP,0,7,0,1E+16
7/5/6/3/3/7/7/3/7 3 3,X,0.5666666666666666666666666666,4.875,SLEEP,0,7,0,1E+16
7/5/6/3/3/7/7/7/6 3 3,X,-0.5909090909090909090909090909,1.5,SLEEP,0,7,0,1E+16
7/5/6/3/3/7/7/7/5 3 3,X,0.5666666666666666666666666666,6.125,SLEEP,0,7,0,1E+16
7/5/6/3/3/7/7/7/3 3 3,X,0.6333333333333333333333333333,6,SLEEP,0,7,0,1E+16
7/5/6/3/7/2/7/7/7 3 3,X,0.5,9.625,SLEEP,0,7,0,1E+16
7/5/6/3/7/6/6/7/7 3 3,Z,-0.5769230769230769230769230769,2.875,SLEEP,0,7,0,1E+16
7/5/6/3/7/6/5/7/7 3 3,Z,-0.5769230769230769230769230769,4,SLEEP,0,7,0,1E+16
7/5/6/3/7/6/3/7/7 3 3,Z,-0.5769230769230769230769230769,6.75,SLEEP,0,7,0,1E+16
7/5/6/3/7/6/7/6/7 3 3,Z,-0.6538461538461538461538461538,5,SLEEP,0,7,0,1E+16
7/5/6/3/7/6/7/5/7 3 3,Z,-0.5769230769230769230769230769,7.5,SLEEP,0,7,0,1E+16
7/5/6/3/7/6/7/3/7 3 3,Z,0.625,5.125,SLEEP,0,7,0,1E+16
7/5/6/3/7/6/7/7/6 3 3,Z,-0.5769230769230769230769230769,4,SLEEP,0,7,0,1E+16
7/5/6/3/7/6/7/7/5 3 3,Z,-0.5769230769230769230769230769,4,SLEEP,0,7,0,1E+16
7/5/6/3/7/6/7/7/3 3 3,Z,-0.5769230769230769230769230769,3.625,SLEEP,0,7,0,1E+16
